category,subcategory,title,description,url,tags
design,ui-ux,"Figma Tutorials","Learn Figma from scratch",https://figmatutorials.com,"figma,tutorial,design"
design,ui-ux,"Material Design","Sistema de design do Google com diretrizes completas para criar interfaces modernas e acessíveis.",https://m3.material.io/,"gratuito,sistema de design,guidelines"
design,ui-ux,"A11Y Project","Checklist e recursos para criar produtos digitais acessíveis.",https://www.a11yproject.com/,"acessibilidade,gratuito,checklist"
design,ui-ux,"Dribbble","Comunidade de designers para compartilhar e encontrar inspiração de UI/UX.",https://dribbble.com/,"inspiração,comunidade,portfólio"
design,ui-ux,"Laws of UX","Coleção de princípios psicológicos que designers podem considerar ao construir interfaces.",https://lawsofux.com/,"psicologia,princípios,gratuito"
design,ui-ux,"UX Tools","Recursos, ferramentas e métodos para designers UX.",https://uxtools.co/,"ferramentas,comparativo,métodos"
design,branding,"Brand New","Blog que documenta e discute redesigns corporativos e novas identidades de marca.",https://www.underconsideration.com/brandnew/,"blog,análise,casos"
design,branding,"Logo Archive","Compilação de logos vintage para inspiração e referência.",https://www.logoarchive.com/,"inspiração,vintage,logos"
design,branding,"Brand Guidelines","Coleção de manuais de identidade visual de grandes marcas para referência.",https://brandguidelines.cc/,"guidelines,manuais,referência"
design,branding,"Canva","Ferramenta online para criar elementos de identidade visual como logos, cartões e materiais de marketing.",https://www.canva.com/,"ferramenta,freemium,templates"
design,branding,"LogoMaker","Ferramenta para criar logos profissionais de forma rápida.",https://www.logomaker.com/,"ferramenta,logo,freemium"
design,design-thinking,"IDEO Design Kit","Recursos, métodos e ferramentas para design thinking da IDEO.",https://www.designkit.org/,"metodologia,ferramentas,gratuito"
design,design-thinking,"Stanford d.school","Recursos educacionais sobre design thinking da Universidade Stanford.",https://dschool.stanford.edu/resources,"educação,recursos,academia"
design,design-thinking,"Interaction Design Foundation","Cursos e literatura sobre design thinking e metodologias de design.",https://www.interaction-design.org/,"cursos,educação,freemium"
design,design-thinking,"Miro","Quadro colaborativo online ideal para sessões de design thinking remotas.",https://miro.com/,"ferramenta,colaboração,freemium"
design,design-thinking,"Design Sprint Kit","Metodologia e recursos para conduzir design sprints baseados na metodologia do Google Ventures.",https://designsprintkit.withgoogle.com/,"metodologia,sprint,gratuito"
design,recursos-visuais,"Unsplash","Fotos de alta qualidade gratuitas para uso comercial e pessoal.",https://unsplash.com/,"fotos,gratuito,sem atribuição"
design,recursos-visuais,"Humaaans","Ilustrações de pessoas customizáveis para projetos de design.",https://www.humaaans.com/,"ilustrações,gratuito,customizável"
design,recursos-visuais,"Coolors","Gerador de paletas de cores para encontrar combinações harmoniosas.",https://coolors.co/,"cores,paletas,gratuito"
design,recursos-visuais,"Iconoir","Biblioteca de ícones open source com design consistente.",https://iconoir.com/,"ícones,gratuito,open-source"
design,recursos-visuais,"unDraw","Ilustrações open-source para qualquer ideia que você possa imaginar e criar.",https://undraw.co/,"ilustrações,gratuito,customizável"
typography,fonts,"Google Fonts","Free web fonts",https://fonts.google.com,"fonts,free,typography"
typography,google-fonts,"Google Fonts","Biblioteca de fontes gratuitas do Google com mais de 1000 famílias de fontes otimizadas para web.",https://fonts.google.com/,"gratuito,web,fontes"
typography,google-fonts,"Fontsie","Explore e visualize todas as fontes do Google Fonts com amostras personalizáveis.",https://fontsie.app/,"gratuito,visualização,comparação"
typography,google-fonts,"Google Fonts Knowledge","Artigos, guias e tutoriais sobre tipografia e uso efetivo de fontes.",https://fonts.google.com/knowledge,"gratuito,educação,tutoriais"
typography,adobe-fonts,"Adobe Fonts","Biblioteca premium de fontes incluída na assinatura Creative Cloud.",https://fonts.adobe.com/,"premium,creative cloud,profissional"
typography,adobe-fonts,"Adobe Font Pack Pro","Pacotes selecionados de fontes Adobe otimizados para diferentes tipos de projetos.",https://fonts.adobe.com/collections,"premium,coleções,profissional"
typography,combinacoes,"Fontjoy","Gere combinações harmoniosas de fontes usando aprendizado de máquina.",https://fontjoy.com/,"gratuito,ferramenta,IA"
typography,combinacoes,"Fontpair","Coleção de pares de fontes testados e aprovados para seus projetos.",https://www.fontpair.co/,"gratuito,pares,inspiração"
typography,combinacoes,"TypeWolf","Inspiração para escolhas tipográficas com exemplos do mundo real.",https://www.typewolf.com/,"inspiração,tendências,exemplos"
typography,tipografia-web,"Practical Typography","Guia completo e gratuito de tipografia prática para web e impressão.",https://practicaltypography.com/,"gratuito,guia,educação"
typography,tipografia-web,"Type Scale","Ferramenta visual para criar escalas tipográficas harmônicas.",https://type-scale.com/,"gratuito,ferramenta,hierarquia"
typography,tipografia-web,"Wakamai Fondue","Verifique quais recursos uma fonte possui, como variáveis, ligaduras e alternativas.",https://wakamaifondue.com/,"gratuito,análise,ferramenta"
tools,photoshop,"Adobe Photoshop","Software líder para edição e composição de imagens, manipulação fotográfica e design gráfico.",https://www.adobe.com/products/photoshop.html,"premium,edição,imagens"
tools,photoshop,"Photoshop Café","Tutoriais gratuitos e recursos para Photoshop em todos os níveis.",https://photoshopcafe.com/tutorials/,"tutoriais,gratuito,aprendizado"
tools,photoshop,"PSD Box","Modelos, mockups e recursos premium para Photoshop.",https://psdbox.com/,"recursos,premium,mockups"
tools,photoshop,"TutsPlus Photoshop","Tutoriais detalhados sobre técnicas avançadas de Photoshop.",https://design.tutsplus.com/categories/adobe-photoshop,"tutoriais,avançado,técnicas"
tools,illustrator,"Adobe Illustrator","Software de design vetorial para criar ilustrações, ícones, tipografia e elementos gráficos.",https://www.adobe.com/products/illustrator.html,"premium,vetorial,ilustração"
